Democrats,Republicans,Others,Total,ED,RD,year,month,county
598,390,417,1405,06,24,2018,November,New Castle
1228,325,434,1987,07,24,2018,November,New Castle
874,424,538,1836,08,24,2018,November,New Castle
506,244,268,1018,09,24,2018,November,New Castle
789,335,458,1582,10,24,2018,November,New Castle
760,252,410,1422,01,25,2018,November,New Castle
573,424,408,1405,02,25,2018,November,New Castle
734,351,494,1579,03,25,2018,November,New Castle
678,381,404,1463,04,25,2018,November,New Castle
607,425,446,1478,05,25,2018,November,New Castle
995,417,495,1907,06,25,2018,November,New Castle
843,496,595,1934,07,25,2018,November,New Castle
429,180,218,827,08,25,2018,November,New Castle
876,428,480,1784,01,26,2018,November,New Castle
919,225,362,1506,02,26,2018,November,New Castle
676,258,328,1262,03,26,2018,November,New Castle
1091,350,465,1906,04,26,2018,November,New Castle
1263,387,602,2252,05,26,2018,November,New Castle
979,354,474,1807,06,26,2018,November,New Castle
1188,415,557,2160,07,26,2018,November,New Castle
302,88,134,524,08,26,2018,November,New Castle
1941,336,603,2880,09,26,2018,November,New Castle
1229,605,643,2477,01,27,2018,November,New Castle
744,351,352,1447,02,27,2018,November,New Castle
794,293,364,1451,03,27,2018,November,New Castle
877,496,578,1951,04,27,2018,November,New Castle
937,505,484,1926,05,27,2018,November,New Castle
947,237,373,1557,06,27,2018,November,New Castle
241,238,189,668,07,27,2018,November,New Castle
937,592,570,2099,08,27,2018,November,New Castle
819,644,476,1939,09,27,2018,November,New Castle
829,687,596,2112,10,27,2018,November,New Castle
1585,1528,1105,4218,01,14,2018,January,Sussex
1246,1119,797,3162,02,14,2018,January,Sussex
1404,982,667,3053,03,14,2018,January,Sussex
1556,1243,883,3682,04,14,2018,January,Sussex
1326,1199,832,3357,05,14,2018,January,Sussex
867,700,458,2025,06,14,2018,January,Sussex
722,605,444,1771,07,14,2018,January,Sussex
850,511,434,1795,01,20,2018,January,Sussex
1165,1187,818,3170,02,20,2018,January,Sussex
1084,1300,816,3200,03,20,2018,January,Sussex
1300,1312,927,3539,04,20,2018,January,Sussex
1589,1525,1086,4200,05,20,2018,January,Sussex
713,817,603,2133,06,20,2018,January,Sussex
1097,914,683,2694,07,20,2018,January,Sussex
176,258,172,606,08,20,2018,January,Sussex
134,157,102,393,09,20,2018,January,Sussex
115,178,89,382,10,20,2018,January,Sussex
1142,1657,898,3697,01,35,2018,January,Sussex
1206,1290,761,3257,02,35,2018,January,Sussex
814,582,430,1826,03,35,2018,January,Sussex
1313,872,585,2770,04,35,2018,January,Sussex
250,318,173,741,05,35,2018,January,Sussex
335,482,228,1045,06,35,2018,January,Sussex
668,666,457,1791,07,35,2018,January,Sussex
925,835,708,2468,01,36,2018,January,Sussex
